Step,Computo,Comunicacion,N
0,0.00067874,0.00139837,10800
1,0.00207712,0,10800
0,0.00138395,0.00041064,21600
1,0.00179460,0,21600
0,2.45293426,0.08924105,23619600
1,2.54217531,0,23619600
0,0.23187250,0.01854380,2624400
1,0.25041630,0,2624400
0,0.02220853,0.00409137,291600
1,0.02629990,0,291600
0,0.00024233,0.00096877,3600
1,0.00121110,0,3600
0,7.74767558,0.47563950,70858800
1,8.22331509,0,70858800
0,0.75650084,0.05905754,7873200
1,0.81555839,0,7873200
0,0.07134986,0.00906073,874800
1,0.08041060,0,874800
