Step,Computo,Comunicacion,N
0,0.00039907,0.00397943,10800
1,0.00437850,0,10800
0,0.00072918,0.00358643,21600
1,0.00431561,0,21600
0,1.10532737,0.10749157,23619600
1,1.21281894,0,23619600
0,0.11563545,0.01677218,2624400
1,0.13240763,0,2624400
0,0.01047407,0.00596237,291600
1,0.01643645,0,291600
0,0.00014895,0.00588902,3600
1,0.00603797,0,3600
0,3.50533712,0.35534103,70858800
1,3.86067815,0,70858800
0,0.34324041,0.03820408,7873200
1,0.38144449,0,7873200
0,0.03297415,0.01519183,874800
1,0.04816598,0,874800
