Step,Computo,Comunicacion,N
0,0.00534128,0.00000000,10800
1,1.91582172,0.00000000,10800
2,1.91048044,0.00000000,10800
0,0.02035294,0.00000000,21600
1,3.20640605,0.00000000,21600
2,3.18605311,0.00000000,21600
0,263.62457678,0.00000000,2624400
1,265.74972328,0.00000000,2624400
2,2.12514650,0.00000000,2624400
0,0.00542344,0.00000000,10800
1,2.28895928,0.00000000,10800
2,2.28353584,0.00000000,10800
0,0.02093355,0.00000000,21600
1,1.54415352,0.00000000,21600
2,1.52321998,0.00000000,21600
0,278.88828192,0.00000000,2624400
1,280.26907148,0.00000000,2624400
2,1.38078956,0.00000000,2624400
