Step,Computo,Comunicacion,N
0,0.00001058,0.00011512,10800
1,0.00742683,0.00013149,10800
2,0.00018848,0.00029586,10800
3,0.00068027,0.00000000,10800
4,0.00112030,0.00000000,10800
5,0.00000000,0.00010067,10800
6,0.00000000,0.00000000,10800
0,0.00001778,0.00008394,21600
1,0.00017028,0.00009583,21600
2,0.00019093,0.00012634,21600
3,0.00150317,0.00000000,21600
4,0.00235910,0.00000000,21600
5,0.00000000,0.00001628,21600
6,0.00000000,0.00000000,21600
0,0.10897858,0.13143035,23619600
1,0.00014036,0.05047693,23619600
2,0.06094456,0.01379170,23619600
3,1.96206028,0.00000000,23619600
4,2.96598485,0.00000000,23619600
5,0.00000000,0.11544452,23619600
6,0.00000000,0.00000000,23619600
0,0.00290803,0.13513245,2624400
1,0.00013529,0.00616307,2624400
2,0.00568514,0.00164063,2624400
3,0.18519997,0.00000000,2624400
4,0.28644532,0.00000000,2624400
5,0.00000000,0.00902477,2624400
6,0.00000000,0.00000000,2624400
0,0.00025009,0.00079486,291600
1,0.00012804,0.00072585,291600
2,0.00071992,0.00065422,291600
3,0.01701966,0.00000000,291600
4,0.02721374,0.00000000,291600
5,0.00000000,0.00075958,291600
6,0.00000000,0.00000000,291600
0,0.00000530,0.00004511,3600
1,0.00040304,0.00005077,3600
2,0.00005969,0.00001737,3600
3,0.00013797,0.00000000,3600
4,0.00025108,0.00000000,3600
5,0.00000000,0.00004897,3600
6,0.00000000,0.00000000,3600
0,0.35788411,0.24619773,70858800
1,0.00015903,0.14748982,70858800
2,0.16782418,0.03380112,70858800
3,6.39299939,0.00000000,70858800
4,9.50635693,0.00000000,70858800
5,0.00000000,0.19904731,70858800
6,0.00000000,0.00000000,70858800
0,0.00917911,0.36314615,7873200
1,0.00016360,0.01720946,7873200
2,0.01885228,0.00120864,7873200
3,0.59973413,0.00000000,7873200
4,0.94512498,0.00000000,7873200
5,0.00000000,0.00759635,7873200
6,0.00000000,0.00000000,7873200
0,0.00084674,0.08800935,874800
1,0.00012704,0.00173843,874800
2,0.00234652,0.00212829,874800
3,0.05560866,0.00000000,874800
4,0.08956203,0.00000000,874800
5,0.00000000,0.00153643,874800
6,0.00000000,0.00000000,874800
